Date,Open,High,Low,Close,Adj Close,Volume
2016-01-21,224.83,226.61,223.81,223.81,223.81,145374
2016-01-22,226.35,228.79,226.31,228.79,228.79,115528
2016-01-25,229.98,231.37,228.99,230.21,230.21,75662
2016-01-26,228.66,229.06,226.16,227.19,227.19,89529
2016-01-27,229.19,231.13,228.83,230.96,230.96,92894
2016-01-28,229.07,231.62,228.02,231.51,231.51,131304
2016-01-29,230.97,232.1,228.8,232.1,232.1,107901
2016-02-01,232.87,233.84,232.13,233.67,233.67,106256
2016-02-02,232.27,232.95,231.05,231.1,231.1,87256
2016-02-03,229.29,229.36,227.77,228.97,228.97,77801
2016-02-04,230.3,232.94,230.12,232.91,232.91,84733
2016-02-05,232.73,233.93,232.27,233.3,233.3,90041
2016-02-11,227.77,228.35,226.26,226.7,226.7,83572
2016-02-12,225.5,226.63,223.37,224.98,224.98,122056
2016-02-15,227.84,228.81,226.86,228.4,228.4,82004
2016-02-16,229.26,232.13,228.87,231.52,231.52,76712
2016-02-17,231.66,233.3,230.87,231.94,231.94,95029
2016-02-18,235.08,235.11,233.52,234.74,234.74,81407
2016-02-19,234.11,235.31,233.47,235.27,235.27,74342
2016-02-22,234.58,235.73,233.78,234.95,234.95,59585
2016-02-23,236.54,236.67,234.42,235.03,235.03,70243
2016-02-24,234.3,235.58,233.96,234.91,234.91,70372
2016-02-25,235.57,236.91,233.87,235.37,235.37,73319
2016-02-26,236.39,236.46,234.86,235.22,235.22,77666
2016-02-29,235.4,236.28,234.63,234.63,234.63,80364
2016-03-02,238.45,239.08,238.08,238.63,238.63,108551
2016-03-03,240.2,240.2,238.68,240.09,240.09,111240
2016-03-04,239.84,240.31,238.93,239.74,239.74,116636
2016-03-07,240.47,240.91,239.84,240.21,240.21,134368
2016-03-08,240.27,240.27,237.32,238.44,238.44,119589
2016-03-09,237.64,239.13,237.21,239.13,239.13,76741
2016-03-10,239.91,242.51,239.47,241.43,241.43,84244
2016-03-11,241.29,242.62,241.17,241.97,241.97,60922
2016-03-14,243.9,243.94,241.93,242.15,242.15,73873
2016-03-15,242.47,243.0,241.28,241.83,241.83,67444
2016-03-16,242.04,243.43,241.63,242.35,242.35,73418
2016-03-17,243.65,245.84,243.58,244.09,244.09,88888
2016-03-18,245.25,245.27,243.72,244.63,244.63,77050
2016-03-21,245.44,245.95,243.2,244.28,244.28,72832
2016-03-22,244.75,245.41,244.06,245.41,245.41,73835
2016-03-23,245.33,246.18,244.45,245.23,245.23,72958
2016-03-24,244.3,245.0,243.31,244.08,244.08,74738
2016-03-25,244.61,244.65,243.33,243.79,243.79,73171
2016-03-28,243.86,244.96,243.66,243.95,243.95,104246
2016-03-29,244.55,245.88,244.11,245.53,245.53,103639
2016-03-30,246.98,247.58,246.07,246.54,246.54,103093
2016-03-31,246.95,247.26,244.55,245.86,245.86,89221
2016-04-01,245.59,245.66,241.82,242.36,242.36,157191
2016-04-04,242.38,243.06,241.73,243.05,243.05,68617
2016-04-05,242.1,242.25,240.28,240.58,240.58,63928
2016-04-06,240.85,242.59,240.65,241.99,241.99,103088
2016-04-07,243.05,243.27,241.03,242.29,242.29,138883
2016-04-08,240.59,241.84,239.57,241.77,241.77,117363
2016-04-11,241.79,242.29,240.65,242.06,242.06,89458
2016-04-12,242.05,243.94,241.72,243.71,243.71,102075
2016-04-14,247.01,248.9,246.76,248.89,248.89,136902
2016-04-15,248.47,249.03,247.68,248.53,248.53,99584
2016-04-18,246.7,248.04,246.32,248.0,248.0,82378
2016-04-19,248.67,249.34,247.49,247.88,247.88,99751
2016-04-20,248.63,249.56,247.26,247.26,247.26,93347
2016-04-21,248.45,249.5,247.92,249.39,249.39,87878
2016-04-22,248.44,248.86,247.74,248.32,248.32,105792
2016-04-25,248.33,248.45,247.08,248.13,248.13,129122
2016-04-26,247.81,249.22,247.7,248.92,248.92,134475
2016-04-27,248.87,249.09,248.28,248.69,248.69,163101
2016-04-28,249.42,249.52,245.91,246.27,246.27,108535
2016-04-29,245.9,246.01,243.89,245.2,245.2,104339
2016-05-02,244.86,244.88,243.27,243.47,243.47,78967
2016-05-03,244.88,244.9,243.48,244.29,244.29,71151
2016-05-04,243.29,243.85,242.23,243.31,243.31,110856
2016-05-09,242.84,243.11,241.63,242.23,242.23,98228
2016-05-10,241.97,243.68,241.77,243.68,243.68,114280
2016-05-11,244.39,244.39,241.99,243.07,243.07,87896
2016-05-12,242.23,243.12,241.66,242.34,242.34,81718
2016-05-13,242.61,242.73,240.03,240.6,240.6,74186
2016-05-16,240.01,241.32,240.01,240.82,240.82,97138
2016-05-17,241.67,241.81,240.26,241.03,241.03,71716
