Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,33900,34150,33750,33850,33850,1290685
2013-07-02,33950,34150,33600,33800,33800,1231809
2013-07-03,33800,34200,32650,32800,32800,2253032
2013-07-04,32800,32950,32450,32600,32600,1346624
2013-07-05,33100,33450,33000,33000,33000,932909
2013-07-08,33050,34100,33050,34100,34100,1578169
2013-07-09,34200,34200,33700,34050,34050,889007
2013-07-10,34200,34250,33600,34250,34250,759612
2013-07-11,35000,35450,34450,35300,35300,2130979
2013-07-12,35100,35600,34850,35450,35450,883169
2013-07-15,35100,35450,34550,35200,35200,623995
2013-07-16,35000,35400,34650,34950,34950,959926
2013-07-17,34350,34900,33750,34500,34500,3156961
2013-07-18,34250,34250,33900,34100,34100,1001663
2013-07-19,34250,34600,33900,34600,34600,1197867
2013-07-22,34750,35000,34250,34850,34850,962986
2013-07-23,35350,36050,35250,36000,36000,2367147
2013-07-24,35950,36150,35800,36150,36150,802459
2013-07-25,36100,36100,35500,35750,35750,552147
2013-07-26,35600,36000,35400,35650,35650,537177
2013-07-29,35200,35700,35100,35500,35500,594018
2013-07-30,35600,36050,35300,35850,35850,551017
2013-07-31,35600,36100,35300,35600,35600,2129812
2013-08-01,35950,36550,35300,36250,36250,1439362
2013-08-02,36800,37700,36550,36800,36800,1835752
2013-08-05,36750,37000,36550,36700,36700,478480
2013-08-06,36500,36700,35800,36550,36550,846811
2013-08-07,36050,36200,35850,35900,35900,751606
2013-08-08,35900,36700,35850,36400,36400,654426
2013-08-09,36000,36900,35650,36550,36550,979933
2013-08-12,36150,36500,35850,36150,36150,707706
2013-08-13,36100,36400,35850,36150,36150,773864
2013-08-14,36350,36350,35750,36100,36100,930177
2013-08-16,35950,36100,35650,35950,35950,511757
2013-08-19,35650,36050,35450,35650,35650,885981
2013-08-20,35600,36200,35450,35650,35650,848485
2013-08-21,35700,35900,35050,35400,35400,829128
2013-08-22,34900,35250,34600,34800,34800,1159364
2013-08-23,34350,35000,34300,34900,34900,845294
2013-08-26,34600,35200,34550,34700,34700,818397
2013-08-27,34400,34600,34250,34450,34450,1199262
2013-08-28,34000,34150,33700,34150,34150,851461
2013-08-29,34150,35250,34150,35000,35000,1853708
2013-08-30,35100,35800,35100,35700,35700,1639218
2013-09-02,35500,35850,35400,35500,35500,805849
2013-09-03,35600,36250,35600,36200,36200,1300890
2013-09-04,35800,36350,35650,36000,36000,932232
2013-09-05,36000,36350,35750,36100,36100,1053159
2013-09-06,36300,36350,35700,35800,35800,786497
2013-09-09,36400,36800,36300,36550,36550,1458242
2013-09-10,36900,37150,31100,36950,36950,1841350
2013-09-11,36950,37250,36800,37250,37250,1083003
2013-09-12,37100,37550,36900,36900,36900,1473567
2013-09-13,36900,37300,36600,37100,37100,986020
2013-09-16,37500,37950,37350,37650,37650,1351500
2013-09-17,37650,38200,37500,38050,38050,1372341
2013-09-23,38250,39050,37650,38800,38800,1982851
2013-09-24,38350,38700,37950,38600,38600,838064
2013-09-25,38800,38850,37900,38050,38050,1358635
2013-09-26,38050,38750,37750,38600,38600,869665
2013-09-27,38900,39050,38350,38550,38550,1391468
2013-09-30,38550,38550,37600,37600,37600,1165883
2013-10-01,37300,38350,37300,38000,38000,1104524
2013-10-02,38450,38650,38100,38200,38200,831425
2013-10-04,39000,39000,38450,38450,38450,1252891
2013-10-07,38450,38950,38150,38650,38650,953093
2013-10-08,38500,38550,37750,38350,38350,595619
